7,Ü,2;
8, ,4865;
8,!,2;
8,",1;
8,#,1;
8,%,1;
8,',5;
8,(,4;
8,),694;
8,+,3;
8,,,949;
8,-,1571;
8,.,1905;
8,/,161;
8,0,2181;
8,1,1488;
8,2,1322;
8,3,1521;
8,4,1587;
8,5,1728;
8,6,1858;
8,7,1915;
8,8,1991;
8,9,2200;
8,:,449;
8,;,42;
8,=,74;
8,],2;
8,_,3;
8,a,41;
8,b,18;
8,c,20;
8,d,46;
8,e,36;
8,f,24;
8,g,28;
8,h,16;
8,i,17;
8,j,13;
8,k,17;
8,l,20;
8,m,23;
8,n,4;
8,o,3;
8,p,8;
8,q,1;
8,r,12;
8,s,23;
8,t,13;
8,u,9;
8,v,7;
8,w,8;
8,x,13;
8,y,2;
8,z,5;
8,},1;
8,‚,1;
8,“,9;
8,–,417;
8,°,4;
8,½,1;
8,À,1;
8,×,1;
9, ,4494;
9,",3;
9,',3;
9,(,1;
9,),658;
9,*,2;
9,,,886;
9,-,613;
9,.,2053;
9,/,124;
9,0,3168;
9,1,3008;
9,2,3522;
9,3,4320;
9,4,4390;
9,5,4416;
9,6,4623;
9,7,6092;
9,8,5890;
9,9,7307;
9,:,509;
9,;,37;
9,=,66;
9,?,1;
9,],5;
9,a,30;
9,b,28;
9,c,14;
9,d,35;
9,e,21;
9,f,29;
9,g,33;
9,h,20;
9,i,11;
9,j,8;
9,k,11;
9,l,21;
9,m,17;
9,n,5;
9,o,6;
9,p,11;
9,q,1;
9,r,11;
9,s,22;
9,t,20;
9,u,4;
9,v,10;
9,w,11;
9,x,6;
9,y,1;
9,z,1;
9,€,1;
9,‚,1;
9,’,1;
9,“,6;
9,–,390;
9,°,5;
9,²,3;
9,½,2;
9,×,2;
:, ,18763;
:,",3;
:,(,6;
:,),3;
:,*,1;
:,+,4;
:,-,2;
:,/,145;
:,0,227;
:,1,306;
:,2,203;
:,3,113;
:,4,89;
:,5,86;
:,6,22;
:,7,15;
:,8,13;
:,9,5;
:,:,1;
:,;,3;
:,=,136;
:,>,1;
:,\,1;
:,],2;
:,a,103;
:,b,65;
